firma,ico
"EKOL, spol. s r.o.",41600983
ELBEL s.r.o.,27401481
electric cars s.r.o.,29105277
Electric Powersteering Components Europe s.r.o.,26464276
"ELECTROPOLI-GALVIA, s.r.o.",62063685
"ELFE, s.r.o.",47973293
Elkamet s.r.o.,27125149
Emerson Climate Technologies s.r.o.,27451321
EMS-PATVAG s.r.o.,27455823
Engel strojírenská spol. s r.o,62497219
Engel strojírenská spol. s.r.o.,62497219
Engel strojírenská spol. s r.o.,62497219
EPCOS s.r.o.,25569341
"EPISPOL, a.s.",25449842
ept connector s.r.o.,49192116
Erdrich Umformtechnik s.r.o.,26865688
"Erich Jaeger, s.r.o.",25785079
eRZET STEEL s.r.o.,27336328
"ESAB VAMBERK, s.r.o.",25118170
"ESSA CZECH, spol. s r.o.",25639641
"Etagra, s.r.o.",27637646
Eurac Hradec s.r.o.,25954776
Europahaus-Holzindustries s.r.o.,27302946
Europasta SE,28115414
"EuWe Eugen Wexler ČR, s.r.o.",49702092
EvoBus Bohemia s.r.o.,25657704
Excelsior Technologies s.r.o.,28989601
F.X.MEILLER Slaný s.r.o.,49706454
F.X. MEILLER Slaný s.r.o.,49706454
Faerch Plast s.r.o.,27302849
FAIVELEY TRANSPORT LEKOV a.s.,25213423
"Fatra, a.s.",27465021
Faurecia Automotive Czech Republic s.r.o.,26100045
"Faurecia Components Písek, s.r.o.",26105314
"Faurecia Emissions Control Technologies, MB",26151197
Faurecia Exhaust Systems s.r.o.,25639587
"Faurecia Plzeň, s.r.o.",29164516
Federal - Mogul Friction Products a.s.,45534144
Fehrer Bohemia s.r.o.,45280479
"FEI Czech Republic, s. r. o.",46971629
"FEROX, a.s.",8648
"Fibertex Nonwovens, a.s.",48173118
"Fibertex, a.s.",48173118
FIC CZ s.r.o.,14502241
"FINIDR, s.r.o.",60778172
fischer automotive systems s.r.o.,27715256
fischer Vyškov spol. s.r.o.,60719958
Flexfill s.r.o.,27249026
Flextronics International s.r.o.,25559834
Forez s.r.o.,64788342
"FORMPLAST PURKERT, s.r.o.",27531708
fortell s.r.o.,64256197
Fosfa akciová společnost,152901
FOXCONN CZ s.r.o.,25938002
FOXCONN Network Technology CZ s.r.o.,28816170
Foxconn Technology CZ s.r.o.,27516032
Frantschach Pulp & Paper Czech a.s.,26161516
Fresenius HemoCare CZ s.r.o.,27238920
"Fresenius HemoCare CZ s.r.o., koncern",27238920
Frýdlantské strojírny - Rasl a syn a.s.,25006568
FTE automotive Czechia s.r.o.,27278581
FUJIKOKI CZECH s.r.o.,26439913
Futaba Czech s.r.o.,26743892
"Galvanoplast Fischer Bohemia, k.s.",25400231
Gates Hydraulics s.r.o.,26866439
GENERAL BOTTLERS CR s.r.o.,48587354
Gerresheimer Horsovsky Tyn spol. s r.o.,48360716
Gerresheimer Wilden Czech spol. s r.o.,48360716
Glanzstoff High Tech Fibres Company s.r.o.,28698754
Glaverbel Czech a.s.,14864576
"Glaverbel Czech a.s., člen skupiny Glaverbel",14864576
GOLDBECK Prefabeton s.r.o.,49823329
Gondella CZ s.r.o.,45536163
"GONVARRI CZECH, s.r.o.",3480780
Grammer Automotive CZ s.r.o.,27315835
"GRAMMER CZ, s.r.o.",64361462
Graziano Trasmissioni Czech s.r.o.,27426360
"greiner packaging, s.r.o.",26309181
GRUPO ANTOLIN OSTAVA s.r.o.,27534596
GRUPO ANTOLIN TURNOV s.r.o.,26702436
"GS Caltex Czech, s.r.o.",24124818
Guardian Automotive Czechia s.r.o.,27915905
GÜHRING  s.r.o.,49194291
"GZ Digital Media, a.s.",27380068
"GZ Production, s.r.o.",24242438
GZ Recordable s.r.o.,26122219
HAAS FERTIGBAU spol. s r.o.,62496867
"Hanwha L&C Czech, s.r.o.",28198638
HARGO a.s.,28212606
HARTMANN - RICO a.s.,44947429
Haselmeier s.r.o.,26422531
HAUK s.r.o.,62029631
HAUSER spol. s r.o.,14500051
"Hayes Lemmerz Alukola, s.r.o.",25823621
"Hayes Lemmerz Czech, s.r.o.",24790834
HCL TECHNOLOGIES CZECH REPUBLIC s.r.o.,4353684
HECKL s.r.o.,62956833
HELLA AUTOTECHNIK NOVA s.r.o.,25834151
HELUZ s.r.o.,28068262
HF-Czechforge s.r.o.,27365361
"Hill´s Pet Nutrition Manufacturing, s.r.o.",27580792
"Hitachi Automotive Systems Czech, s.r.o.",27578330
"Hitachi Home Electronics (Czech), s.r.o.",27578330
HK Konstrukce s.r.o.,25370545
Holz Schiller s.r.o.,49196111
Holzwerke WIMMER s.r.o.,25950665
Honeywell Aerospace Olomouc s.r.o.,25384961
"Honeywell, spol. s r.o.",18627757
"Hope Global Europe, s.r.o.",28421361
HOPPE s.r.o.,63149842
"Huisman Konstrukce, s.r.o.",25370545
Humpolecké strojírny Humpolec a.s.,60827882
Husqvarna Manufacturing CZ s.r.o.,18953557
HUTCHINSON s.r.o.,61504424
HYSCO CZECH s.r.o.,27801659
Hyundai Motor Manufacturing Czech s.r.o.,27773035
IDEAL AUTOMOTIVE Bor s.r.o.,25230425
"IDEAL AUTOMOTIVE Bor,  s.r.o.",25230425
IG Watteeuw ČR s.r.o.,63981106
"IMG Bohemia, s.r.o.",49824732
IMG Consulting s.r.o.,26082951
IMS - Drašnar s.r.o.,25273396
"INA Lanškroun, s.r.o.",25922092
INCOT spol. s r.o.,25291645
INDET SAFETY SYSTEMS a.s.,25114638
Infineon Technologies Trutnov s.r.o.,25298208
"INNO-COMP Bohemia, s.r.o.",27309185
INTEDOOR spol. s r.o.,25409549
Inteplast CZ s.r.o,27071065
InTiCom Components Tschechien s.r.o.,26092930
Invensys Appliance Controls s.r.o.,25850075
"INVOS, spol. s r.o.",44004036
"IPS Alpha Technology Europe, s.r.o.",27568300
IRCR Manufacturing s.r.o.,26489201
"Isolit - Bravo, spol. s r.o.",46507272
"ITAB Shop Concept CZ, a.s.",25568663
ITT Holdings Czech Republic s.r.o.,28367111
IVAX Pharmaceuticals s.r.o.,26785323
"Iveco Czech Republic, a.s.",48171131
"Iveco Czech Republic, a.s. (KAROSA a.s.)",48171131
IVG Colbachini CZ s.r.o.,26715961
"Javořice, a.s.",63492202
JC Interiors Czechia s.r.o.,28739817
"Jihlavské sklárny BOHEMIA, a.s.",49452801
"Jihočeský zemědělský lihovar, a.s.",26064120
Jihomoravská armaturka spol. s r. o.,63486831
"JKZ BUČOVICE, a.s.",25587820
Johnson Controls Automotive Bor s.r.o.,2397811
"JOHNSON CONTROLS INTERNATIONAL, spol. s.r.o.",43871143
"JOKEY PRAHA CZ, s.r.o.",48953997
JOPP Automotive s.r.o.,26312417
Jotun Powder Coatings (CZ) a.s.,49900871
"JSP International, s.r.o.",26380102
JTEKT Automotive Czech Pardubice s.r.o.,26764181
JTEKT Automotive Czech Plzen s.r.o.,26734851
JUTA a.s.,45534187
"JUTA, a.s.",45534187
Juta a.s.,45534187
KAMAX s.r.o.,47455705
"Kappa Packaging Olomouc, s.r.o.",26820439
"Karlovarské minerální vody,  a.s.",14706725
"KARSIT HOLDING, s.r.o.",47455608
KARSIT s.r.o.,25939637
"KASI, spol. s r.o.",47470011
"KAUČUK, a.s.",25053272
KDK Automotive Czech s.r.o.,64356043
"KE Ostrov - Elektrik, s.r.o.",25205145
Kemmerich Czech s.r.o.,27781917
"Keramický a betonový blok, s.r.o.",14866021
KERN-LIEBERS CR spol. s r.o.,60849827
"KES - kabelové a elektrické systémy, spol. s r.o.",46581448
"KIEKERT - CS, s.r.o.",49284975
"Kimberly - Clark, s.r.o.",63468816
"Kimberly-Clark, s.r.o.",63468816
Kimberly-Clark s.r.o. (původně - Kimberly-Clark a.s.),63468816
"Kingspan, a.s.",64829201
Kiswire Cord Czech s.r.o.,4210310
Klein & Blažek spol. s r.o.,47683228
"Knauf Insulation, spol. s r.o.",27242293
"KNAUF INSULATION, spol. s r.o.",27242293
Knürr s.r.o.,62502093
Kofola a.s.,27767680
"KÖGEL, a.s.",25253107
KOH-I-NOOR Mladá Vožice a.s.,60827441
KOITO CZECH s.r.o.,26438771
KOMAP DĚDOV s.r.o.,15032108
KONE Industrial - koncern s.r.o.,27111440
"KOPOS KOLÍN, a.s.",61672971
"KORADO, a.s.",25255843
KORDÁRNA Plus a.s.,27758711
KORFIL a.s.,26899701
"KOSTAL CR, spol s r.o.",49687131
"KOSTAL CR, spol. s r.o.",49687131
"Kostal CR, spol.s r.o.",49687131
Kostelecké uzeniny a.s.,46900411
"Kovárna ""VIVA"" Zlín, spol. s r.o.",46978496
Kovárna VIVA a.s.,46978496
"Kovohutě Příbram nástupnická, a.s.",27118100
KOVOKON Popovice s.r.o.,25520971
KOVOLIS HEDVIKOV a.s.,61058041
"Kovona Systém, a.s.",25855646
"KOVOSVIT MAS, a.s.",26047284
Kovovýroba Hoffmann,25321820
"KOVOVÝROBA HOFFMANN, s.r.o.",25321820
Koyo Steering Systems Czech s.r.o.,26734851
Kraft Foods CR s.r.o.,47123915
"KRONOSPAN CR,spol. s r.o.",62417690
"KRONOSPAN OSB, spol. s r.o.",26936364
"KRPA PAPER, a.s.",27537820
KS CZ Motor Service s.r.o.,24301833
"KS Katalog - Servis, s.r.o.",63990474
KSM Castings CZ a.s.,27172490
"KSR Industrial, s.r.o.",27227049
"KU uzeniny, s.r.o.",28266561
KYB Manufacturing Czech s.r.o.,27082784
Kyocera Solar Europe s.r.o.,27190439
"L & L Products, s.r.o.",1889567
"La Lorraine, a. s.",25544551
Labe Wood s.r.o.,22793895
Laird Technologies s.r.o.,27074081
"LASSELSBERGER, s.r.o.",25238078
"LE & CO - Ing. Jiří Lenc, s.r.o.",26502658
Lear Corporation Czech s.r.o.,25225227
LEGO Production s.r.o.,26128209
Leitinger Bio Pellets Paskov s.r.o.,27769747
LESS & TIMBER s.r.o.,27095835
"LESS & TIMBER, a.s.",29232007
Letoplast s.r.o.,48591726
"LETOVICKÉ STROJÍRNY, s.r.o.",25526278
LG. Philips Displays Czech Republic s.r.o.,26166453
LINAPLAST s.r.o.,25348965
"Linaset, a.s.",47674687
"LINDE + WIEMANN CZ, s.r.o.",61680991
Linde Frigera s.r.o.,46350420
Linde Pohony s.r.o.,47252103
Linde Sokolovská s.r.o.,27076181
LINDE TECHNOPLYN a.s.,11754
Lindner Türen - Fassaden s.r.o.,49193929
LINET spol. s r.o.,507814
LIPLASTEC s.r.o.,26500370
LISI AUTOMOTIVE FORM a.s.,46900365
"Litovelská cukrovarna, a.s.",64509109
Ljunghall s.r.o.,27228967
"LOGIT, s.r.o.",63991691
Lohman & Rauscher s.r.o.,18825869
"Lohmann & Rauscher, s.r.o.",18825869
LONZA BIOTEC s.r.o.,45245126
Lonza Biotec s.r.o.,45245126
"Lovochemie, a.s.",49100262
"Lovochemie, a. s.",49100262
Lucas Varity s.r.o.,25402081
Lučební závody Draslovka a.s. Kolín,46357351
LUKOV Plast spol. s r.o.,25023063
"MAFRA, a.s.",45313351
Magna Cartech spol. s r.o.,60839368
Magna Exteriors & Interiors (Bohemia) s.r.o.,26195348
Magna Exteriors & Interiors (Nymburk) s.r.o.,25458051
Magnesium Elektron Recycling CZ s.r.o.,26449218
MAHLE Behr Ostrava s.r.o.,27775763
"MAIER CZ, s.r.o.",27254500
"MANETECH, a. s.",26192497
MANN + HUMMEL (CZ) s.r.o.,47901977
"Masterfoods, kom. spol.",47114851
"Matador-Dongwon CZ, s.r.o.",27799492
MATTHEY s.r.o.,27131807
Mayr-Melnhof Säge Paskov s.r.o.,26729407
Mayweg CZ spol. s r.o.,26104296
MD ELEKTRONIK spol. s.r.o.,45352585
MD ELEKTRONIK spol. s r.o.,45352585
Měď Povrly a.s.,49903039
Mehler Engineered Products s.r.o.,27470024
Meister Moravia s.r.o.,26902214
"Meopta - optika, a.s.",47677023
Mesa Parts s.r.o.,49612212
METAL PROGRES Strakonice spol. s r.o.,60851236
"METAL TRADE COMAX, a.s.",49684442
"METAL Ústí n. L., a.s.",46708952
"METAL Ústí n.L., a.s.",46708952
"METALDYNE Oslavany, spol. s.r.o.",49970909
"Metso Czech Republic, s.r.o.",60741902
"MEYSTER CZ, s.r.o.",26036657
Michel Precizní Technika s.r.o.,2068974
Miele technika s.r.o.,26307391
Mi-King s.r.o.,27115313
MIKO international s.r.o.,25900706
Mikron Chomutov s.r.o.,25475533
MILACRON Czech Republic spol. s r.o.,62025112
MITAS a.s.,12190
MITSUBISHI ELECTRIC AUTOMOTIVE CZECH s.r.o.,26185822
Mobis Automotive Czech s.r.o.,27786269
Mobis Automotive System Czech s.r.o.,3758397
Model Obaly a.s.,45192944
Mogador s.r.o.,26230194
Mölnlycke Health Care AB,25671839
Mölnlycke Health Care Klinipro s.r.o.,25886665
"Momentive Specialty Chemicals, a.s.",11771
Mondelez CR Biscuit Production s.r.o.,1409948
Mondi Coating Czech a.s.,25428373
Mondi Coating Štětí a.s,25428373
Mondi Packaging Paper Štětí a.s.,26161516
Mondi Štětí a.s.,26161516
Mondi Štětí White Paper s.r.o.,22797734
Monroe Czechia s.r.o.,61061620
Montáže Přerov a.s.,45193657
"Mora Aerospace, a.s.",25384961
MORAVIA CANS a.s.,46900616
Moravia Timber s.r.o.,27137406
MORAVIAPRESS a.s.,543411
MOVO spol. s r.o.,46887989
"MSA, a.s.",45192278
M-TECHNIKA s.r.o.,25167405
MUBEA - HZP s.r.o.,25528165
Mubea IT Spring Wire s.r.o.,26954664
Mubea Stabilizer Bar Systems s.r.o.,29283132
Mubea Transmission Components s.r.o.,27959015
"Mubea, spol. s r.o.",62417215
Muramoto Manufacturing Europe s.r.o.,27248887
MWV Svitavy s. r. o.,60932538
MZ CZECH s.r.o.,27796132
NACHI Czech s.r.o.,27084485
Nachi Czech s.r.o.,27084485
Nanotherapeutics Bohumil s.r.o.,3699358
NC Line s.r.o.,48392367
"Nejdecká česárna vlny, a.s.",63509326
Nejdecká česárna vlny  a.s.,63509326
Nejdecká česárna vlny a. s.,63509326
Nemak Czech Republic s.r.o.,26318890
Nemak Europe s.r.o.,26318890
Neturen Czech s.r.o.,29155193
"Nippon Kayaku CZ, s.r.o.",26881845
Nitto Denko Czech s.r.o.,27866386
NORTH VIDEO s.r.o.,44568843
"Nová Mosilana, a.s.",60710756
Novibra Boskovice s.r.o.,46995030
"NYPRO hutní prodej, a.s.",25262068
Ohmori Technos Czech s.r.o.,27195864
"O-I Manufacturing Czech Republic, a.s.",14864584
Oiles Czech Manufacturing s.r.o.,27066789
"OKIN GROUP, a.s.",27449734
"OKIN Group, a.s.",27449734
OLHO - Technik Czech s.r.o.,27199037
"OLMA, a.s.",47675730
oncomed manufacturing a.s.,24711667
"ONTEX CZ, s.r.o.",44564422
ONTEX CZ s.r.o.,44564422
Orfus s.r.o.,25789902
ORRERO a.s.,63319551
OSRAM Bruntál spol. s r.o.,25863321
Ostravské opravny a strojírny s.r.o.,46581979
OSTROJ a.s.,45193681
Otavské strojírny a. s.,27960544
OTIS Escalators s.r.o.,25592335
OV Media s.r.o.,27214176
PA Resins Ostrava s.r.o.,27842193
"Panasonic Automotive Systems Czech, s.r.o.",26438356
"Panasonic AVC Networks Czech, s.r.o.",64833054
"Panasonic Mobile & Automotive Systems Czech, s.r.o.",26438356
Parker Hannifin Industrial s.r.o.,25415123
Parker Hannifin s.r.o.,61676578
Parker-Hannifin s.r.o.,61676578
Pars nova a.s.,25860038
Partner in Pet Food CZ s.r.o.,49098501
PEGAS – DS a.s.,25554247
PEGAS - NS a.s.,27757951
PEGAS - NT a.s.,26287153
PEGAS - NW a.s.,26961377
"PEGUFORM PLASTIC, s.r.o.",25458051
Pekárna Hruška spol. s r.o.,27772292
"Pekárna Zelená louka, a.s.",41035895
"PENAM, a.s.",46967851
Personna Inernational CZ s.r.o.,27892131
Pfeifer Holz s.r.o.,62618725
PFISTERER Czech s.r.o.,4449584
PHA Czech s.r.o.,27872092
Pierburg s.r.o.,25488805
PILANA Metal s.r.o.,25328956
"Pittsburgh Corning CR, s.r.o.",26199394
"Pivovar HOLBA, a.s.",64610276
Pivovar Litovel a.s.,47676914
Pivovar ZUBR a.s.,47676906
PLAKOR CZECH s.r.o.,27566005
"PLAKOR CZECH, s.r.o",27566005
"Plastipak Czech Republic, s.r.o.",27063569
"PLASTON CZ, s.r.o.",48292079
Playmobil CZ spol. s r.o.,25203282
PLIVA - Lachema a.s.,15547515
"PLOMA, a.s.",25556045
"Plzeňský Prazdroj, a.s.",45357366
"POCLAIN HYDRAULICS, s.r.o.",46972978
Poppe+Potthoff s.r.o.,26902214
PÓROBETON Ostrava a.s.,47676388
"Pramet Tools, s.r.o.",25782983
PRECHEZA a.s.,26872307
"PRECIOSA GS, a.s.",28250524
Precision Castparts CZ s.r.o.,25249959
"PREOL FOOD, a.s.",27698190
"PREOL, a.s.",26311208
Prettl Automotive Czech s.r.o.,27348351
ProfilKo Czech s.r.o.,28631641
PROFROST a.s.,27771245
Promens a.s.,25325442
PROWELL  s.r.o.,26207281
Průmyslový lihovar Přestanov a.s.,27272401
"První Elektro, a.s",26493381
PULS investiční s.r.o.,25425846
PWO UNITOOLS CZ a.s.,25387146
Qisda Czech s.r.o.,27249034
Qisda Czech s.r.o. (dříve: BenQ Technologies Czech s.r.o.),27249034
Quaprotek Manufacturing k.s.,27709361
RAI MOST s.r.o.,27897478
RAKO a.s.,14803011
Ravensburger Karton s.r.o.,25257064
RD Rýmařov s.r.o.,18953581
RECTICEL Interiors CZ s.r.o.,26482193
RECYDE CZ s.r.o.,26865980
Recyde Ždánice s.r.o.,27678130
REGENERSIS (Czech) s.r.o.,3316971
"REHAU, s.r.o.",45799261
RETAL Czech a.s.,26116219
Řetězárna a.s.,47672081
Rexam Beverage Can Czech Republic s.r.o.,64939294
RI OKNA a.s.,60724862
"Rieger Automotive International, a.s.",27776999
Rieter Automotive CZ s.r.o.,28783174
Rieter CZ a.s.,60112301
"Rigips, s.r.o.",41193954
Ringier Print Praha a.s.,43875548
"Robert Bosch, spol. s.r.o.",46678735
Röchling Automotive Kopřivnice s.r.o.,26873460
"ROCKWOOL, a.s.",26165261
Rodenstock ČR s.r.o.,61173614
"ROHDE & SCHWARZ závod Vimperk, s.r.o.",26034441
RONAL CR s.r.o.,49812106
Rondo obaly s.r.o.,26398966
Ros Czech s.r.o.,27405541
Rover Czech s.r.o.,27915425
"RUBE OIL, s.r.o.",27774198
RUBENA a.s.,46504761
"RUBI CZECH, s.r.o.",24260070
"RWE SCHOTT Solar CR, s.r.o.",26841088
"S. P. of W., a.s.",27268471
"S.A.R.T. production, s.r.o.",28082575
s.n.o.p. cz a.s.,63998203
S.T.I. CZ s.r.o.,26853434
S.T.I. CZ s. r. o.,26853434
Saar Gummi Czech s.r.o.,25931857
SAI Automotive Bohemia s.r.o.,62909037
"Saint – Gobain Vertex, a.s.",12661
SAINT GOBAIN ORSILA s.r.o.,25931504
Saint Gobain Sekurit ČR spol. s r.o.,61856495
Saint-Gobain Adfors CZ s.r.o.,12661
SAINT-GOBAIN ADFORS CZ s.r.o.,12661
Saint-Gobain Sekurit CR spol. s r.o.,61856495
Sandvik Chomutov Precision Tubes spol. s r.o.,60278773
SANDVIK CHOMUTOV PRECISION TUBES spol. s r.o.,60278773
Sanmina-SCI Czech Republic s.r.o.,24299197
"SAPELI, a.s.",46982086
Sarnamotive Bohemia s.r.o.,25466445
